id,popularity,budget,revenue,original_title,runtime,genres,release_date,vote_count,vote_average,release_year
135397,32.985763,150000000,1513528810,Jurassic World,124,Action|Adventure|Science Fiction|Thriller,2015-06-09,5562,6.5,2015
76341,28.419936,150000000,378436354,Mad Max: Fury Road,120,Action|Adventure|Science Fiction|Thriller,2015-05-13,6185,7.1,2015
262500,13.112507,110000000,295238201,Insurgent,119,Adventure|Science Fiction|Thriller,2015-03-18,2480,6.3,2015
140607,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,136,Action|Adventure|Science Fiction|Fantasy,2015-12-15,5292,7.5,2015
168259,9.335014,190000000,1506249360,Furious 7,137,Action|Crime|Thriller,2015-04-01,2947,7.3,2015
281957,9.1107,135000000,532950503,The Revenant,156,Western|Drama|Adventure|Thriller,2015-12-25,3929,7.2,2015
87101,8.654359,155000000,440603537,Terminator Genisys,125,Science Fiction|Action|Thriller|Adventure,2015-06-23,2598,5.8,2015
286217,7.6674,108000000,595380321,The Martian,141,Drama|Adventure|Science Fiction,2015-09-30,4572,7.6,2015
211672,7.40416499999999,74000000,1156730962,Minions,91,Family|Animation|Adventure|Comedy,2015-06-17,2893,6.5,2015
150540,6.326804,175000000,853708609,Inside Out,94,Comedy|Animation|Family,2015-06-09,3935,8.0,2015
206647,6.200282,245000000,880674609,Spectre,148,Action|Adventure|Crime,2015-10-26,3254,6.2,2015
76757,6.189369,176000003,183987723,Jupiter Ascending,124,Science Fiction|Fantasy|Action|Adventure,2015-02-04,1937,5.2,2015
264660,6.118847,15000000,36869414,Ex Machina,108,Drama|Science Fiction,2015-01-21,2854,7.6,2015
257344,5.984995,88000000,243637091,Pixels,105,Action|Comedy|Science Fiction,2015-07-16,1575,5.8,2015
99861,5.944927,280000000,1405035767,Avengers: Age of Ultron,141,Action|Adventure|Science Fiction,2015-04-22,4304,7.4,2015
273248,5.8984,44000000,155760117,The Hateful Eight,167,Crime|Drama|Mystery|Western,2015-12-25,2389,7.4,2015
260346,5.749758,48000000,325771424,Taken 3,109,Crime|Action|Thriller,2015-01-01,1578,6.1,2015
